t,input,output
1.65,0.31154126,0.309924
1.6600001,0.3492912,0.34749785
1.6700001,0.3864828,0.38451663
1.6800001,0.42305565,0.42092022
1.69,0.45895168,0.45665082
1.7,0.4941135,0.49165133
1.71,0.5284849,0.52586573
1.72,0.56201077,0.55923927
1.73,0.5946376,0.59171855
1.74,0.6263131,0.6232517
1.75,0.6569866,0.65378803
1.76,0.68660945,0.6832793
1.77,0.71513283,0.7116768
1.78,0.7425132,0.7389372
1.79,0.76870537,0.7650156
1.8,0.79366773,0.78987044
1.81,0.81736046,0.81346214
1.8199999,0.8397455,0.8357528
1.8299999,0.8607872,0.8567068
1.8399999,0.88045186,0.87629074
1.85,0.89870834,0.89447355
1.86,0.9155263,0.91122496
1.87,0.9308801,0.9265196
1.88,0.94474465,0.94033223
1.89,0.9570977,0.95264083
1.9,0.96791965,0.9634258
1.9100001,0.97719324,0.9726701
1.9200001,0.9849034,0.9803584
1.9300001,0.9910379,0.98647887
1.94,0.99558705,0.9910215
1.95,0.9985433,0.99397904
1.96,0.99990225,0.99534684
1.97,0.99966156,0.9951227
1.98,0.99782157,0.9933069
1.99,0.9943853,0.9899023
2,0.98935825,0.98491454
2.01,0.98274845,0.9783515
2.02,0.9745664,0.97022355
2.03,0.96482533,0.96054393
2.04,0.9535407,0.94932795
2.05,0.94073063,0.9365936
2.06,0.92641556,0.9223612
2.07,0.9106185,0.90665364
2.08,0.8933646,0.889496
2.09,0.8746815,0.8709156
2.1,0.8545991,0.8509424
2.11,0.83314955,0.8296081
2.12,0.8103671,0.80694693
2.13,0.7862877,0.7829947
2.14,0.7609509,0.7577906
2.15,0.7343968,0.7313746
2.16,0.70666784,0.7037889
2.17,0.67780834,0.6750776
2.18,0.6478645,0.6452867
2.19,0.61688423,0.61446375
2.2,0.584917,0.58265805
2.21,0.5520141,0.5499206
2.22,0.5182281,0.5163038
2.23,0.48361304,0.48186126
2.24,0.4482243,0.44664818
2.25,0.4121185,0.41072088
2.26,0.37535337,0.3741368
2.27,0.33798778,0.33695453
2.28,0.3000815,0.29923353
2.29,0.26169512,0.2610341
2.3,0.2228901,0.2224174
2.31,0.1837285,0.18344519
2.32,0.14427298,0.14417979
2.33,0.10458665,0.10468404
2.34,0.064733006,0.06502113
2.35,0.024775807,0.025254495
2.3600001,-0.015221985,-0.014553189
2.37,-0.05519352,-0.054335397
2.38,-0.09507866,-0.09403229
2.3899999,-0.13480979,-0.13357654
2.4,-0.17432715,-0.17290871
2.41,-0.21356468,-0.21196303
2.42,-0.25246057,-0.25067797
2.43,-0.29095253,-0.28899157
2.44,-0.32897907,-0.32684258
2.45,-0.3664793,-0.36417043
2.46,-0.40339324,-0.40091535
2.47,-0.43966186,-0.4370187
2.48,-0.4752271,-0.47242257
2.49,-0.51003206,-0.50707036
2.5,-0.5440211,-0.5409068
2.51,-0.57713985,-0.5738775
2.52,-0.60933524,-0.60592985
2.53,-0.64055586,-0.6370126
2.54,-0.67075175,-0.66707605
2.55,-0.6998746,-0.69607204
