t,input,output
1.65,0.31154126,0.30978218
1.6600001,0.3492912,0.34746033
1.6700001,0.3864828,0.3845833
1.6800001,0.42305565,0.42109072
1.69,0.45895168,0.45692468
1.7,0.4941135,0.49202788
1.71,0.5284849,0.5263441
1.72,0.56201077,0.55981857
1.73,0.5946376,0.5923976
1.74,0.6263131,0.6240291
1.75,0.6569866,0.65466243
1.76,0.68660945,0.684249
1.77,0.71513283,0.71274006
1.78,0.7425132,0.74009216
1.79,0.76870537,0.7662601
1.8,0.79366773,0.7912023
1.81,0.81736046,0.814879
1.8199999,0.8397455,0.8372522
1.8299999,0.8607872,0.8582862
1.8399999,0.88045186,0.87794733
1.85,0.89870834,0.8962045
1.86,0.9155263,0.9130272
1.87,0.9308801,0.9283901
1.88,0.94474465,0.9422678
1.89,0.9570977,0.9546381
1.9,0.96791965,0.96548146
1.9100001,0.97719324,0.9747805
1.9200001,0.9849034,0.98252016
1.9300001,0.9910379,0.9886881
1.94,0.99558705,0.9932746
1.95,0.9985433,0.99627215
1.96,0.99990225,0.99767613
1.97,0.99966156,0.9974842
1.98,0.99782157,0.9956966
1.99,0.9943853,0.9923163
2,0.98935825,0.9873487
2.01,0.98274845,0.98080164
2.02,0.9745664,0.9726857
2.03,0.96482533,0.9630138
2.04,0.9535407,0.9518014
2.05,0.94073063,0.9390666
2.06,0.92641556,0.92482954
2.07,0.9106185,0.90911317
2.08,0.8933646,0.8919425
2.09,0.8746815,0.873345
2.1,0.8545991,0.85335064
2.11,0.83314955,0.83199114
2.12,0.8103671,0.8093008
2.13,0.7862877,0.78531533
2.14,0.7609509,0.7600742
2.15,0.7343968,0.73361725
2.16,0.70666784,0.7059868
2.17,0.67780834,0.6772271
2.18,0.6478645,0.6473841
2.19,0.61688423,0.61650556
2.2,0.584917,0.5846408
2.21,0.5520141,0.55184096
2.22,0.5182281,0.51815844
2.23,0.48361304,0.48364708
2.24,0.4482243,0.44836214
2.25,0.4121185,0.41236
2.26,0.37535337,0.3756983
2.27,0.33798778,0.3384357
2.28,0.3000815,0.30063185
2.29,0.26169512,0.26234713
2.3,0.2228901,0.22364284
2.31,0.1837285,0.1845809
2.32,0.14427298,0.1452238
2.33,0.10458665,0.10563448
2.34,0.064733006,0.06587628
2.35,0.024775807,0.026012827
2.3600001,-0.015221985,-0.013893083
2.37,-0.05519352,-0.053774737
2.38,-0.09507866,-0.093572184
2.3899999,-0.13480979,-0.13321786
2.4,-0.17432715,-0.17265226
2.41,-0.21356468,-0.21180934
2.42,-0.25246057,-0.25062752
2.43,-0.29095253,-0.28904456
2.44,-0.32897907,-0.32699916
2.45,-0.3664793,-0.3644305
2.46,-0.40339324,-0.40127867
2.47,-0.43966186,-0.43748483
2.48,-0.4752271,-0.47299096
2.49,-0.51003206,-0.5077403
2.5,-0.5440211,-0.54167736
2.51,-0.57713985,-0.5747476
2.52,-0.60933524,-0.60689837
2.53,-0.64055586,-0.6380781
2.54,-0.67075175,-0.6682369
2.55,-0.6998746,-0.69732666
2.56,-0.72787774,-0.72530067
2.57,-0.75471705,-0.7521149
2.58,-0.78034836,-0.7777251
2.59,-0.8047301,-0.8020899
2.6,-0.8278257,-0.8251728
2.6100001,-0.849598,-0.84693635
2.62,-0.8700095,-0.8673433
2.63,-0.88903016,-0.8863636
2.6399999,-0.90662766,-0.90396494
2.65,-0.92277557,-0.9201209
2.66,-0.93744683,-0.93480426
2.67,-0.9506184,-0.9479921
2.68,-0.9622692,-0.95966333
2.69,-0.9723805,-0.9697991
2.7,-0.9809363,-0.97838336
2.71,-0.9879227,-0.98540235
2.72,-0.99332875,-0.9908448
2.73,-0.99714565,-0.99470204
2.74,-0.99936736,-0.9969679
2.75,-0.9999902,-0.99763864
2.76,-0.9990133,-0.99671334
2.77,-0.9964383,-0.99419355
2.78,-0.9922692,-0.9900831
2.79,-0.98651254,-0.98438853
2.8,-0.9791778,-0.97711915
2.81,-0.97027653,-0.9682865
2.82,-0.959823,-0.95790476
2.83,-0.947834,-0.94599044
